product_name,price,quantity,unit,date,seller
Papa cambray,49.9,1,kg,2026-02-13,walmart
Echalote,59,100,g,2026-02-13,walmart
Papa alfa chica,45.9,1,kg,2026-02-13,walmart
Champiñones,108,1,kg,2026-02-13,walmart
Espárrago verde por manojo,119,,g,2026-02-13,walmart
Brócoli,59,1,kg,2026-02-13,walmart
Chile Serrano,59,1,kg,2026-02-13,walmart
Chile Jalapeño,22.9,1,kg,2026-02-13,walmart
Diente de ajo,54,200,g,2026-02-13,walmart
Chile Caribe,119,1,kg,2026-02-13,walmart
Ajo negro,86,1,g,2026-02-13,walmart
Ajo japonés,66,80,g,2026-02-13,walmart
Pimiento naranja,99,1,kg,2026-02-13,walmart
Echalote,59,100,g,2026-02-13,walmart
Ajo en Malla s,42.9,3,pza,2026-02-13,walmart
Chile de Árbol verde,174,1,kg,2026-02-13,walmart
Tomate uva Naturesweet Cherubs,95,467,g,2026-02-13,walmart
Tomate NatureSweet Cherubs to go,31.9,71,g,2026-02-13,walmart
Tomate cherry NatureSweet Glorys,95,467,g,2026-02-13,walmart
Jitomate saladet,17.9,1,kg,2026-02-13,walmart
Tomates NatureSweet Cherubs,56,283,g,2026-02-13,walmart
Tomate Verde sin cáscara,59,1,kg,2026-02-13,walmart
Tomates NatureSweet Constellation,89,467,g,2026-02-13,walmart
Aguacate Hass,39.9,1,kg,2026-02-13,walmart
Papa blanca alfa,39.9,1,kg,2026-02-13,walmart
Jitomate beef gourmet,69,1,kg,2026-02-13,walmart
Diente de ajo,54,200,g,2026-02-13,walmart
Nopales en salmuera Flor Azteca en tira,54,1,kg,2026-02-13,walmart
Elote Dulce Sweet Corn s,54,3,pza,2026-02-13,walmart
Mezcla de vegetales Marketside,42,454,g,2026-02-13,walmart
Nopal limpio,42.9,1,kg,2026-02-13,walmart
Ejote,69,1,kg,2026-02-13,walmart
Chayote sin espinas,34.9,1,kg,2026-02-13,walmart
Aguacate hass orgánico Marketside en malla,150,800,g,2026-02-13,walmart
Papa cambray,49.9,1,kg,2026-02-13,walmart
Ajo japonés,66,80,g,2026-02-13,walmart
Nopal en tira empacado,44.9,1,kg,2026-02-13,walmart
Echalote,59,100,g,2026-02-13,walmart
