product_name,price,quantity,unit,seller,date
Sopa De Verduras,29.9,1,pza,lacomer,2026-01-28
Ensalada Básica Mixta,32.9,200,grs,lacomer,2026-01-28
Lechuga Sangria,19.9,1,pza,lacomer,2026-01-28
Espinaca Y Arugula,98.5,142,grs,lacomer,2026-01-28
Elote Blanco En Trozos,29.9,1,pza,lacomer,2026-01-28
Grano De Elote,88.6,1,kg,lacomer,2026-01-28
Verdolaga,24.9,1,pza,lacomer,2026-01-28
Germen De Soya,61.4,1,kg,lacomer,2026-01-28
Elote Amarilo,79.9,3,pza,lacomer,2026-01-28
Tomillo,15,1,pza,lacomer,2026-01-28
Te De Limon,16.7,1,pza,lacomer,2026-01-28
Col De Bruselas,91.2,1,kg,lacomer,2026-01-28
Cilantro,26.9,45,grs,lacomer,2026-01-28
Albahaca Verde,26.9,45,grs,lacomer,2026-01-28
Berro,17.4,1,pza,lacomer,2026-01-28
Ensalada Fresca Mixta,52.2,300,grs,lacomer,2026-01-28
Sopa China,19.9,1,pza,lacomer,2026-01-28
Arugula,26.2,1,pza,lacomer,2026-01-28
Elote Blanco Entero Limpio,29.9,1,pza,lacomer,2026-01-28
Alcachofa,198,1,kg,lacomer,2026-01-28
Spring Mix Orgánico,98.5,142,grs,lacomer,2026-01-28
Laurel,15,1,pza,lacomer,2026-01-28
Sopa Juliana,19.9,1,pza,lacomer,2026-01-28
Manzanilla,20.2,1,pza,lacomer,2026-01-28
Lechuga Francesa,19.9,1,pza,lacomer,2026-01-28
Romeritos,21.9,1,kg,lacomer,2026-01-28
Perejil Chino,20.8,1,pza,lacomer,2026-01-28
Sopa Poblana,19.9,1,pza,lacomer,2026-01-28
Ensalada Italiana,34.9,175,grs,lacomer,2026-01-28
Kale Baby,98.5,142,grs,lacomer,2026-01-28
Germen De Alfalfa,108,1,kg,lacomer,2026-01-28
Coliflor De Color Morado,49.9,1,pza,lacomer,2026-01-28
Cereza,89.9,454,grs,lacomer,2026-01-28
Hierba De Olor,15,1,pza,lacomer,2026-01-28
Berza,20.8,1,pza,lacomer,2026-01-28
Albahaca Morada,33.9,50,grs,lacomer,2026-01-28
Hoja De Platano,88.2,1,kg,lacomer,2026-01-28
Hinojo,15,1,pza,lacomer,2026-01-28
Lechuga Baby Escarlata,53.6,4,pza,lacomer,2026-01-28
Mejorana,16.7,1,pza,lacomer,2026-01-28
Menta Hortalizas Del Vólcan,26.9,45,grs,lacomer,2026-01-28
Garbanza,22.3,1,pza,lacomer,2026-01-28
Ensalada Mixta,28.9,250,grs,lacomer,2026-01-28
Espinaca Baby,69.9,142,grs,lacomer,2026-01-28
Hoja Santa,15,1,pza,lacomer,2026-01-28
Ruda,15,1,pza,lacomer,2026-01-28
Vaina De Nabo,18.2,1,pza,lacomer,2026-01-28
Hoja Para Tamal,64.5,1,pza,lacomer,2026-01-28
Coco En Rebanadas Con Chamoy,42.9,160,grs,lacomer,2026-01-28
Sopa Arrocera,19.9,1,pza,lacomer,2026-01-28
Pak Choy,72.3,1,kg,lacomer,2026-01-28
Sopa Puchero,19.9,1,pza,lacomer,2026-01-28
Alfalfa Fresca,19.1,1,pza,lacomer,2026-01-28
Acelga Arcoiris,18.2,1,pza,lacomer,2026-01-28
Sopa En Escabeche,19.9,1,pza,lacomer,2026-01-28
Lechuga Escarola,19.2,1,pza,lacomer,2026-01-28
Salvia,16.7,1,pza,lacomer,2026-01-28
Ensalada Ancestral Alta En Proteina,39.9,150,grs,lacomer,2026-01-28
Germen De Lenteja,60.6,1,kg,lacomer,2026-01-28
Hoja De Aguacate,13.5,1,pza,lacomer,2026-01-28
Napa,62.6,1,kg,lacomer,2026-01-28
Arnica,17.9,1,pza,lacomer,2026-01-28
Huahuzontle,46.7,1,kg,lacomer,2026-01-28
Aderezo Ranch Chipotle,89.9,354,ml,lacomer,2026-01-28
Papalo,15,1,pza,lacomer,2026-01-28
Hoja De Naranjo,13.5,1,pza,lacomer,2026-01-28
Vinagreta Mostaza Dulce Plant Based,69.9,280,ml,lacomer,2026-01-28
Ensalada Picante Alta En Proteina,39.9,150,grs,lacomer,2026-01-28
Mix De Berries,145,1,pza,lacomer,2026-01-28
Flores Comestibles,68.9,1,pza,lacomer,2026-01-28
Ensalada Mixta De Vegetales,56.9,150,grs,lacomer,2026-01-28
Germen De Trigo,55.6,1,kg,lacomer,2026-01-28
Gordolobo,15,1,pza,lacomer,2026-01-28
Ensalada Oriental,59.9,250,grs,lacomer,2026-01-28
Col China,103.5,1,pza,lacomer,2026-01-28
Cola Caballo,16.7,1,pza,lacomer,2026-01-28
Vinagreta Mango Tropical Plant Based,69.9,280,ml,lacomer,2026-01-28
Ensalada Zen,59.9,270,grs,lacomer,2026-01-28
Brote De Cilantro,144.7,1,grs,lacomer,2026-01-28
Elotillo,52.6,1,pza,lacomer,2026-01-28
Rabano Negro,64.5,1,kg,lacomer,2026-01-28
Ajenjo,17.9,1,pza,lacomer,2026-01-28
Rabano Grande,32.6,1,kg,lacomer,2026-01-28
Brote De Betabel,144.7,1,grs,lacomer,2026-01-28
Ensalada Terra,59.9,270,grs,lacomer,2026-01-28
Ensalada Del Huerto,59.9,270,grs,lacomer,2026-01-28
Eucalipto,13.8,1,pza,lacomer,2026-01-28
Vinagreta Tamarindo Plant Based,69.9,280,ml,lacomer,2026-01-28
Ensalada Terra,59.9,270,grs,lacomer,2026-01-28
Vinagreta Frutal Plant Based,69.9,280,ml,lacomer,2026-01-28
Brote De Chicharo,144.7,1,grs,lacomer,2026-01-28
Brote De Amaranto,144.7,1,grs,lacomer,2026-01-28
Brote De Zanahoria,144.7,1,grs,lacomer,2026-01-28
Elote Cacahuazintle,53.8,1,pza,lacomer,2026-01-28
Fresa lb Giant,159,1,pza,lacomer,2026-01-28
Germen De Amaranto,79.9,1,kg,lacomer,2026-01-28
Germen De Betabel,79.9,1,kg,lacomer,2026-01-28
Germen De Cilantro,79.9,1,kg,lacomer,2026-01-28
Germen De Linaza,79.9,1,kg,lacomer,2026-01-28
Germen De Rabano,79.9,1,kg,lacomer,2026-01-28
Litchi,144.4,1,kg,lacomer,2026-01-28
Rabano Arcoiris  Pza,15.2,1,pza,lacomer,2026-01-28
Salsifis,379.2,1,kg,lacomer,2026-01-28
